segment,rows,avg_max_fwd_ret,avg_min_fwd_ret,positive_label_rate,negative_label_rate,avg_score,train_end,valid_end
all,65300,0.03770574325612761,-0.03071339020107148,0.2739356814701378,0.5845176110260337,0.04177233133263752,2024-12-31,2025-06-30
top10pct,6530,0.060594192073607236,-0.015245526761745464,0.6113323124042879,0.2846860643185299,0.1815385211437506,2024-12-31,2025-06-30
buy,82,0.14586336062716887,0.024903864182021097,0.9634146341463414,0.036585365853658534,0.4912621198689868,2024-12-31,2025-06-30
