feature,importance
atr_14,1211
turnover_rate,1126
amplitude,1018
ret_1d,905
lower_shadow,809
ret_20d,794
ret_3d,753
macd_hist,699
ma10_slope,697
rsi_14,695
volume_ratio_5,691
kdj_d,670
ret_10d,670
ma5_slope,661
kdj_j,658
close_ma5_ratio,644
macd_dea,640
close_ma20_ratio,602
macd_dif,589
ret_5d,579
rsi_6,576
upper_shadow,571
kdj_k,507
close_ma10_ratio,481
volume_ratio_20,413
amount_ratio_20,341
