segment,rows,avg_max_fwd_ret,avg_min_fwd_ret,positive_label_rate,negative_label_rate,avg_score,train_end,valid_end
all,234,0.02061108810949868,-0.014147203297763249,0.19230769230769232,0.41025641025641024,0.06915919501313336,2024-04-19,2024-05-27
top10pct,24,0.045481510311818046,-0.008063975991960742,0.8333333333333334,0.16666666666666666,0.6205471141361859,2024-04-19,2024-05-27
buy,40,0.041563038213634,-0.008109548283579567,0.75,0.125,0.576609735890924,2024-04-19,2024-05-27
