feature,importance
ret_1d,254
lower_shadow,249
atr_14,210
turnover_rate,197
macd_dea,183
ret_3d,178
volume_ratio_5,173
macd_dif,148
rsi_6,130
ret_5d,130
upper_shadow,127
amplitude,118
close_ma5_ratio,99
volume_ratio_20,97
close_ma10_ratio,95
kdj_j,89
ret_10d,83
rsi_14,73
macd_hist,73
amount_ratio_20,45
ret_20d,44
ma5_slope,30
close_ma20_ratio,28
ma10_slope,21
kdj_d,18
kdj_k,7
