date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000655,6.0,6.21,6.3,6.0,63294,42649298.2,4.97,2.81,0.17,1.06,000655
2023-01-04,000655,6.21,6.25,6.29,6.19,36982,25224712.0,1.61,0.64,0.04,0.62,000655
2023-01-05,000655,6.29,6.2,6.29,6.15,31501,21305894.1,2.24,-0.8,-0.05,0.53,000655
2023-01-06,000655,6.19,6.15,6.24,6.14,27960,18917799.6,1.61,-0.81,-0.05,0.47,000655
2023-01-09,000655,6.19,6.26,6.29,6.18,48656,33214642.83,1.79,1.79,0.11,0.82,000655
2023-01-10,000655,6.24,6.22,6.28,6.17,27145,18411490.68,1.76,-0.64,-0.04,0.46,000655
2023-01-11,000655,6.19,6.27,6.33,6.19,43957,30149506.84,2.25,0.8,0.05,0.74,000655
2023-01-12,000655,6.27,6.26,6.31,6.2,27148,18559203.16,1.75,-0.16,-0.01,0.46,000655
2023-01-13,000655,6.28,6.33,6.43,6.27,54807,37897599.0,2.56,1.12,0.07,0.92,000655
2023-01-16,000655,6.28,6.31,6.34,6.2,62809,43132257.06,2.21,-0.32,-0.02,1.06,000655
2023-01-17,000655,6.41,6.44,6.46,6.34,68844,48070216.0,1.9,2.06,0.13,1.16,000655
2023-01-18,000655,6.44,6.62,6.7,6.41,91613,65886956.6,4.5,2.8,0.18,1.54,000655
2023-01-19,000655,6.58,6.73,6.75,6.58,73755,53747384.4,2.57,1.66,0.11,1.24,000655
2023-01-20,000655,6.75,6.8,6.82,6.69,69523,51110438.0,1.93,1.04,0.07,1.17,000655
2023-01-30,000655,6.87,6.82,6.9,6.78,77608,57489771.5,1.76,0.29,0.02,1.3,000655
2023-01-31,000655,6.79,6.83,6.85,6.74,50793,37544807.0,1.61,0.15,0.01,0.85,000655
2023-02-01,000655,6.85,7.29,7.34,6.83,135430,104618333.63,7.47,6.73,0.46,2.27,000655
2023-02-02,000655,7.31,7.29,7.37,7.18,100727,79004267.86,2.61,0.0,0.0,1.69,000655
