date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000039,6.64,6.66,6.68,6.6,78630,55218115.36,1.2,0.0,0.0,0.34,000039
2023-01-04,000039,6.67,6.62,6.67,6.6,83712,58670533.6,1.05,-0.6,-0.04,0.36,000039
2023-01-05,000039,6.62,6.68,6.68,6.61,88058,61909372.1,1.06,0.91,0.06,0.38,000039
2023-01-06,000039,6.66,6.66,6.69,6.63,76257,53651541.98,0.9,-0.3,-0.02,0.33,000039
2023-01-09,000039,6.67,6.64,6.69,6.64,83423,58727818.56,0.75,-0.3,-0.02,0.36,000039
2023-01-10,000039,6.66,6.57,6.66,6.56,94967,66155746.06,1.51,-1.05,-0.07,0.41,000039
2023-01-11,000039,6.55,6.55,6.59,6.54,60841,42243502.55,0.76,-0.3,-0.02,0.26,000039
2023-01-12,000039,6.56,6.56,6.59,6.52,53598,37151061.36,1.07,0.15,0.01,0.23,000039
2023-01-13,000039,6.57,6.61,6.61,6.55,68001,47273376.77,0.91,0.76,0.05,0.3,000039
2023-01-16,000039,6.61,6.66,6.7,6.6,104321,73484343.48,1.51,0.76,0.05,0.45,000039
2023-01-17,000039,6.69,6.72,6.73,6.65,85088,60167444.47,1.2,0.9,0.06,0.37,000039
2023-01-18,000039,6.74,6.85,6.94,6.72,177921,128989050.52,3.27,1.93,0.13,0.77,000039
2023-01-19,000039,6.86,6.88,6.91,6.79,104363,75517892.4,1.75,0.44,0.03,0.45,000039
2023-01-20,000039,6.89,6.9,6.95,6.87,99062,72054609.3,1.16,0.29,0.02,0.43,000039
2023-01-30,000039,6.96,6.86,6.96,6.85,153026,111444406.08,1.59,-0.58,-0.04,0.66,000039
2023-01-31,000039,6.86,6.89,6.91,6.85,101574,73733400.46,0.87,0.44,0.03,0.44,000039
2023-02-01,000039,6.93,6.92,6.93,6.87,128171,93410087.54,0.87,0.44,0.03,0.56,000039
2023-02-02,000039,6.92,6.9,6.93,6.87,107361,78157618.94,0.87,-0.29,-0.02,0.47,000039
2023-02-03,000039,6.88,6.83,6.9,6.77,123429,88862707.0,1.88,-1.01,-0.07,0.54,000039
2023-02-06,000039,6.84,6.84,6.92,6.78,114874,83170950.16,2.05,0.15,0.01,0.5,000039
2023-02-07,000039,6.84,6.98,7.03,6.84,209993,154409334.83,2.78,2.05,0.14,0.91,000039
2023-02-08,000039,6.99,6.94,7.04,6.92,111011,81459818.92,1.72,-0.57,-0.04,0.48,000039
2023-02-09,000039,6.91,6.98,6.99,6.9,99179,72845913.4,1.3,0.58,0.04,0.43,000039
2023-02-10,000039,6.98,7.01,7.18,6.94,240932,178827534.75,3.44,0.43,0.03,1.05,000039
2023-02-13,000039,7.04,7.38,7.6,6.99,699838,542069773.4,8.7,5.28,0.37,3.04,000039
2023-02-14,000039,7.38,7.4,7.53,7.35,325295,253540792.49,2.44,0.27,0.02,1.41,000039
