date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000088,4.54,4.49,4.54,4.45,66320,33367402.86,1.99,-0.66,-0.03,0.29,000088
2023-01-04,000088,4.49,4.54,4.54,4.46,54598,27595478.85,1.78,1.11,0.05,0.24,000088
2023-01-05,000088,4.54,4.53,4.63,4.48,91928,46769041.28,3.3,-0.22,-0.01,0.41,000088
2023-01-06,000088,4.52,4.47,4.55,4.46,66841,33726119.96,1.99,-1.32,-0.06,0.3,000088
2023-01-09,000088,4.5,4.47,4.51,4.46,43212,21720282.0,1.12,0.0,0.0,0.19,000088
2023-01-10,000088,4.48,4.44,4.51,4.43,57750,28932844.9,1.79,-0.67,-0.03,0.26,000088
2023-01-11,000088,4.45,4.42,4.47,4.41,41235,20531886.6,1.35,-0.45,-0.02,0.18,000088
2023-01-12,000088,4.42,4.49,4.51,4.39,63533,31765373.58,2.71,1.58,0.07,0.28,000088
2023-01-13,000088,4.5,4.52,4.52,4.43,82639,41612647.49,2.0,0.67,0.03,0.37,000088
2023-01-16,000088,4.53,4.63,4.69,4.49,147822,76232186.21,4.42,2.43,0.11,0.66,000088
2023-01-17,000088,4.63,4.71,4.75,4.59,127077,66511238.11,3.46,1.73,0.08,0.57,000088
2023-01-18,000088,4.72,4.77,4.8,4.66,109962,58316343.31,2.97,1.27,0.06,0.49,000088
2023-01-19,000088,4.77,4.85,4.88,4.69,141585,75651370.31,3.98,1.68,0.08,0.63,000088
2023-01-20,000088,4.85,4.86,4.88,4.78,111322,59982015.42,2.06,0.21,0.01,0.49,000088
2023-01-30,000088,4.85,4.77,4.9,4.76,87978,47094992.4,2.88,-1.85,-0.09,0.39,000088
2023-01-31,000088,4.78,4.8,4.81,4.73,58677,31274111.59,1.68,0.63,0.03,0.26,000088
2023-02-01,000088,4.8,4.79,4.82,4.77,52577,28075381.81,1.04,-0.21,-0.01,0.23,000088
2023-02-02,000088,4.79,4.77,4.8,4.73,60111,31961923.92,1.46,-0.42,-0.02,0.27,000088
2023-02-03,000088,4.79,4.7,4.79,4.68,43277,22766082.35,2.31,-1.47,-0.07,0.19,000088
2023-02-06,000088,4.7,4.73,4.82,4.65,47546,25178441.03,3.62,0.64,0.03,0.21,000088
2023-02-07,000088,4.74,4.72,4.76,4.69,40333,21241020.15,1.48,-0.21,-0.01,0.18,000088
2023-02-08,000088,4.74,4.67,4.75,4.66,39506,20710997.62,1.91,-1.06,-0.05,0.18,000088
