date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000506,3.22,3.31,3.32,3.21,177579,58236732.48,3.41,2.48,0.08,1.91,000506
2023-01-04,000506,3.31,3.33,3.34,3.28,164854,54629435.8,1.81,0.6,0.02,1.78,000506
2023-01-05,000506,3.35,3.38,3.38,3.32,245289,82429725.92,1.8,1.5,0.05,2.64,000506
2023-01-06,000506,3.34,3.31,3.39,3.3,152802,51033454.0,2.66,-2.07,-0.07,1.65,000506
2023-01-09,000506,3.35,3.4,3.41,3.34,257067,87048177.8,2.11,2.72,0.09,2.77,000506
2023-01-10,000506,3.42,3.38,3.47,3.36,229173,78081110.9,3.24,-0.59,-0.02,2.47,000506
2023-01-11,000506,3.38,3.35,3.4,3.33,156104,52487057.0,2.07,-0.89,-0.03,1.68,000506
2023-01-12,000506,3.36,3.33,3.37,3.3,115062,38234102.32,2.09,-0.6,-0.02,1.24,000506
2023-01-13,000506,3.36,3.3,3.37,3.27,153453,50817790.0,3.0,-0.9,-0.03,1.65,000506
2023-01-16,000506,3.31,3.31,3.34,3.3,137435,45645290.52,1.21,0.3,0.01,1.48,000506
2023-01-17,000506,3.31,3.24,3.32,3.23,134226,43762380.0,2.72,-2.11,-0.07,1.45,000506
2023-01-18,000506,3.24,3.25,3.28,3.23,101083,32910645.75,1.54,0.31,0.01,1.09,000506
2023-01-19,000506,3.23,3.26,3.27,3.23,126604,41111112.0,1.23,0.31,0.01,1.36,000506
2023-01-20,000506,3.27,3.48,3.53,3.27,576892,197517284.16,7.98,6.75,0.22,6.21,000506
2023-01-30,000506,3.56,3.52,3.57,3.48,483180,169665127.1,2.59,1.15,0.04,5.2,000506
2023-01-31,000506,3.55,3.54,3.57,3.5,304040,107584378.35,1.99,0.57,0.02,3.27,000506
2023-02-01,000506,3.56,3.66,3.68,3.54,497073,180600455.1,3.95,3.39,0.12,5.35,000506
2023-02-02,000506,3.65,3.67,3.74,3.6,434723,159508342.18,3.83,0.27,0.01,4.68,000506
2023-02-03,000506,3.63,3.6,3.64,3.55,366157,131344941.0,2.45,-1.91,-0.07,3.94,000506
2023-02-06,000506,3.56,3.56,3.59,3.52,244172,86730273.36,1.94,-1.11,-0.04,2.63,000506
2023-02-07,000506,3.59,3.63,3.64,3.53,247938,88812745.0,3.09,1.97,0.07,2.67,000506
2023-02-08,000506,3.63,3.57,3.63,3.55,200585,71869707.74,2.2,-1.65,-0.06,2.16,000506
2023-02-09,000506,3.56,3.6,3.61,3.52,200212,71730718.59,2.52,0.84,0.03,2.16,000506
2023-02-10,000506,3.58,3.58,3.62,3.56,181351,65094507.59,1.67,-0.56,-0.02,1.95,000506
