date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000050,8.67,8.83,8.86,8.66,56931,49958626.01,2.31,1.96,0.17,0.24,000050
2023-01-04,000050,8.85,8.85,8.9,8.77,57273,50576572.97,1.47,0.23,0.02,0.24,000050
2023-01-05,000050,8.85,8.89,8.91,8.82,46709,41475694.49,1.02,0.45,0.04,0.2,000050
2023-01-06,000050,8.9,8.9,9.0,8.88,53495,47784641.92,1.35,0.11,0.01,0.23,000050
2023-01-09,000050,8.91,8.91,8.99,8.88,42249,37774245.27,1.24,0.11,0.01,0.18,000050
2023-01-10,000050,8.92,8.95,9.02,8.89,54279,48632742.21,1.46,0.45,0.04,0.23,000050
2023-01-11,000050,8.92,8.94,9.04,8.9,57944,51981633.1,1.56,-0.11,-0.01,0.24,000050
2023-01-12,000050,8.91,8.94,8.98,8.89,49714,44434450.48,1.01,0.0,0.0,0.21,000050
2023-01-13,000050,8.99,8.97,9.0,8.92,45768,40985350.0,0.89,0.34,0.03,0.19,000050
2023-01-16,000050,8.99,9.12,9.15,8.96,81854,74325316.02,2.12,1.67,0.15,0.34,000050
2023-01-17,000050,9.13,9.15,9.2,9.1,57774,52846817.92,1.1,0.33,0.03,0.24,000050
2023-01-18,000050,9.16,9.22,9.24,9.12,53288,48997177.87,1.31,0.77,0.07,0.22,000050
2023-01-19,000050,9.21,9.38,9.38,9.17,85560,79603855.55,2.28,1.74,0.16,0.36,000050
2023-01-20,000050,9.38,9.35,9.45,9.3,87933,82372994.07,1.6,-0.32,-0.03,0.37,000050
2023-01-30,000050,9.47,9.44,9.55,9.41,97524,92403138.43,1.5,0.96,0.09,0.41,000050
2023-01-31,000050,9.36,9.43,9.46,9.33,76049,71654486.53,1.38,-0.11,-0.01,0.32,000050
2023-02-01,000050,9.48,9.49,9.55,9.43,79595,75502115.79,1.27,0.64,0.06,0.34,000050
2023-02-02,000050,9.52,9.45,9.55,9.42,73946,70014554.94,1.37,-0.42,-0.04,0.31,000050
2023-02-03,000050,9.42,9.45,9.48,9.33,76353,71869805.39,1.59,0.0,0.0,0.32,000050
2023-02-06,000050,9.45,9.51,9.67,9.38,97819,93177226.22,3.07,0.63,0.06,0.41,000050
2023-02-07,000050,9.57,9.54,9.57,9.47,61817,58853565.62,1.05,0.32,0.03,0.26,000050
2023-02-08,000050,9.55,9.41,9.57,9.38,61240,57928617.6,1.99,-1.36,-0.13,0.26,000050
2023-02-09,000050,9.42,9.63,9.65,9.41,99986,95790247.31,2.55,2.34,0.22,0.42,000050
2023-02-10,000050,9.65,9.67,9.73,9.6,75219,72695769.95,1.35,0.42,0.04,0.32,000050
2023-02-13,000050,9.65,9.65,9.72,9.6,64328,62120571.39,1.24,-0.21,-0.02,0.27,000050
2023-02-14,000050,9.64,9.65,9.72,9.61,54092,52248310.51,1.14,0.0,0.0,0.23,000050
2023-02-15,000050,9.65,9.93,10.0,9.62,209841,208125730.65,3.94,2.9,0.28,0.88,000050
2023-02-16,000050,9.9,9.75,10.12,9.67,176890,175047735.68,4.53,-1.81,-0.18,0.74,000050
2023-02-17,000050,9.71,9.55,9.83,9.55,107919,104182266.11,2.87,-2.05,-0.2,0.45,000050
2023-02-20,000050,9.55,9.68,9.69,9.53,86698,83447138.68,1.68,1.36,0.13,0.36,000050
2023-02-21,000050,9.72,9.63,9.76,9.53,114158,110054470.92,2.38,-0.52,-0.05,0.48,000050
2023-02-22,000050,9.6,9.59,9.68,9.55,60995,58576084.5,1.35,-0.42,-0.04,0.26,000050
2023-02-23,000050,9.63,9.59,9.67,9.5,71417,68416824.08,1.77,0.0,0.0,0.3,000050
2023-02-24,000050,9.64,9.58,9.64,9.52,62090,59484693.6,1.25,-0.1,-0.01,0.26,000050
2023-02-27,000050,9.56,9.47,9.63,9.41,75097,71471397.54,2.3,-1.15,-0.11,0.32,000050
2023-02-28,000050,9.56,9.57,9.67,9.43,89881,85920822.98,2.53,1.06,0.1,0.38,000050
2023-03-01,000050,9.57,9.71,9.72,9.54,91340,88392330.36,1.88,1.46,0.14,0.38,000050
2023-03-02,000050,9.73,9.71,9.78,9.69,66929,65110835.8,0.93,0.0,0.0,0.28,000050
2023-03-03,000050,9.88,9.77,9.88,9.7,87270,85225665.0,1.85,0.62,0.06,0.37,000050
2023-03-06,000050,9.78,9.82,9.85,9.74,71196,69634648.5,1.13,0.51,0.05,0.3,000050
2023-03-07,000050,9.76,9.65,9.94,9.65,100953,98677986.67,2.95,-1.73,-0.17,0.42,000050
2023-03-08,000050,9.61,9.78,9.82,9.6,79811,77714748.72,2.28,1.35,0.13,0.34,000050
2023-03-09,000050,9.82,9.75,9.87,9.71,63771,62422578.01,1.64,-0.31,-0.03,0.27,000050
2023-03-10,000050,9.78,10.73,10.73,9.66,506062,525182110.16,10.97,10.05,0.98,2.13,000050
2023-03-13,000050,10.5,10.19,10.5,10.06,773785,791987626.6,4.1,-5.03,-0.54,3.26,000050
2023-03-14,000050,10.18,10.06,10.2,9.96,390340,392280545.35,2.36,-1.28,-0.13,1.64,000050
2023-03-15,000050,10.05,10.12,10.29,9.97,387278,392737102.39,3.18,0.6,0.06,1.63,000050
2023-03-16,000050,10.04,9.86,10.12,9.81,306614,304179388.24,3.06,-2.57,-0.26,1.29,000050
2023-03-17,000050,9.89,9.93,10.08,9.88,278274,277558716.49,2.03,0.71,0.07,1.17,000050
2023-03-20,000050,9.94,10.08,10.28,9.94,306685,311016972.43,3.42,1.51,0.15,1.29,000050
2023-03-21,000050,9.99,10.14,10.21,9.97,224965,227828495.87,2.38,0.6,0.06,0.95,000050
2023-03-22,000050,10.08,10.35,10.44,10.08,305654,314429107.67,3.55,2.07,0.21,1.29,000050
2023-03-23,000050,10.25,10.39,10.44,10.24,218869,226745242.21,1.93,0.39,0.04,0.92,000050
2023-03-24,000050,10.39,10.94,11.17,10.35,707404,769139781.55,7.89,5.29,0.55,2.98,000050
2023-03-27,000050,10.92,10.68,11.05,10.54,372327,400863181.43,4.66,-2.38,-0.26,1.57,000050
2023-03-28,000050,10.7,10.6,10.77,10.55,188203,200295329.57,2.06,-0.75,-0.08,0.79,000050
2023-03-29,000050,10.6,10.52,10.61,10.42,153535,161496349.93,1.79,-0.75,-0.08,0.65,000050
2023-03-30,000050,10.59,10.61,10.72,10.42,212240,224644781.06,2.85,0.86,0.09,0.89,000050
2023-03-31,000050,10.62,10.51,10.68,10.35,213843,224127250.57,3.11,-0.94,-0.1,0.9,000050
2023-04-03,000050,10.57,10.81,10.9,10.5,324494,347733440.87,3.81,2.85,0.3,1.37,000050
2023-04-04,000050,10.81,10.92,10.95,10.74,274438,297774663.12,1.94,1.02,0.11,1.16,000050
2023-04-06,000050,10.88,11.1,11.38,10.82,356102,398294551.26,5.13,1.65,0.18,1.5,000050
2023-04-07,000050,11.13,11.03,11.25,11.0,196682,217784665.85,2.25,-0.63,-0.07,0.83,000050
2023-04-10,000050,10.99,10.67,11.04,10.61,295290,319411056.4,3.9,-3.26,-0.36,1.24,000050
2023-04-11,000050,10.73,10.84,10.94,10.68,203229,220107344.65,2.44,1.59,0.17,0.86,000050
2023-04-12,000050,10.84,10.97,11.06,10.8,217189,237909603.33,2.4,1.2,0.13,0.91,000050
2023-04-13,000050,10.89,10.85,11.07,10.8,211749,231388839.19,2.46,-1.09,-0.12,0.89,000050
2023-04-14,000050,10.86,10.79,10.91,10.62,142764,153290696.44,2.67,-0.55,-0.06,0.6,000050
2023-04-17,000050,10.79,10.63,10.85,10.6,154770,165123686.94,2.32,-1.48,-0.16,0.65,000050
2023-04-18,000050,10.65,10.48,10.65,10.4,167434,175566997.71,2.35,-1.41,-0.15,0.7,000050
2023-04-19,000050,10.48,10.49,10.63,10.42,112290,118117597.0,2.0,0.1,0.01,0.47,000050
2023-04-20,000050,10.43,10.63,10.65,10.43,110125,116333739.67,2.1,1.33,0.14,0.46,000050
2023-04-21,000050,10.61,10.1,10.63,10.09,199817,205373218.5,5.08,-4.99,-0.53,0.84,000050
2023-04-24,000050,10.05,10.0,10.2,9.97,141013,141607212.66,2.28,-0.99,-0.1,0.59,000050
2023-04-25,000050,9.99,9.89,10.08,9.78,109747,108888363.74,3.0,-1.1,-0.11,0.46,000050
2023-04-26,000050,9.86,9.78,9.92,9.69,99921,97890681.23,2.33,-1.11,-0.11,0.42,000050
2023-04-27,000050,9.77,9.78,9.86,9.71,81017,79334723.86,1.53,0.0,0.0,0.34,000050
2023-04-28,000050,9.75,9.86,9.92,9.75,97561,96176782.24,1.74,0.82,0.08,0.41,000050
2023-05-04,000050,9.2,8.87,9.3,8.87,375926,337218938.23,4.36,-10.04,-0.99,1.58,000050
2023-05-05,000050,8.88,8.8,8.94,8.7,181843,160430531.97,2.71,-0.79,-0.07,0.77,000050
2023-05-08,000050,8.84,9.12,9.23,8.78,184958,166550885.53,5.11,3.64,0.32,0.78,000050
2023-05-09,000050,9.09,9.12,9.37,9.05,185007,170265562.65,3.51,0.0,0.0,0.78,000050
2023-05-10,000050,9.11,9.1,9.2,8.98,108942,98922084.15,2.41,-0.22,-0.02,0.46,000050
2023-05-11,000050,9.15,9.14,9.23,9.11,92798,84979180.0,1.32,0.44,0.04,0.39,000050
2023-05-12,000050,9.14,9.04,9.19,9.01,66073,60074843.1,1.97,-1.09,-0.1,0.28,000050
2023-05-15,000050,9.04,9.08,9.09,8.93,84462,76211393.72,1.77,0.44,0.04,0.36,000050
2023-05-16,000050,9.1,8.98,9.1,8.98,78178,70523372.97,1.32,-1.1,-0.1,0.33,000050
2023-05-17,000050,9.0,9.16,9.17,8.98,82589,75109721.18,2.12,2.0,0.18,0.35,000050
2023-05-18,000050,9.11,9.24,9.28,9.11,71649,65981708.81,1.86,0.87,0.08,0.3,000050
2023-05-19,000050,9.2,9.37,9.43,9.2,87098,81267744.6,2.49,1.41,0.13,0.37,000050
2023-05-22,000050,9.39,9.4,9.44,9.34,64340,60428623.37,1.07,0.32,0.03,0.27,000050
2023-05-23,000050,9.39,9.28,9.46,9.26,51684,48336730.0,2.13,-1.28,-0.12,0.22,000050
2023-05-24,000050,9.24,9.26,9.35,9.15,71987,66592846.32,2.16,-0.22,-0.02,0.3,000050
2023-05-25,000050,9.23,9.3,9.37,9.2,61723,57217145.11,1.84,0.43,0.04,0.26,000050
2023-05-26,000050,9.27,9.36,9.38,9.23,57175,53270921.0,1.61,0.65,0.06,0.24,000050
2023-05-29,000050,9.36,9.43,9.56,9.36,69636,65889672.52,2.14,0.75,0.07,0.29,000050
2023-05-30,000050,9.42,9.55,9.56,9.36,70422,66781430.85,2.12,1.27,0.12,0.3,000050
2023-05-31,000050,9.51,9.67,9.68,9.46,88219,84788716.08,2.3,1.26,0.12,0.37,000050
2023-06-01,000050,9.64,9.63,9.71,9.57,68784,66294930.84,1.45,-0.41,-0.04,0.29,000050
2023-06-02,000050,9.62,9.64,9.71,9.6,54673,52800152.09,1.14,0.1,0.01,0.23,000050
2023-06-05,000050,9.64,9.63,9.74,9.6,51134,49398097.51,1.45,-0.1,-0.01,0.22,000050
2023-06-06,000050,9.59,9.39,9.64,9.37,83484,79295580.59,2.8,-2.49,-0.24,0.35,000050
2023-06-07,000050,9.41,9.46,9.52,9.37,48562,45919601.74,1.6,0.75,0.07,0.2,000050
2023-06-08,000050,9.49,9.36,9.49,9.24,68268,63733997.26,2.64,-1.06,-0.1,0.29,000050
2023-06-09,000050,9.36,9.35,9.36,9.2,69938,64900149.75,1.71,-0.11,-0.01,0.29,000050
2023-06-12,000050,9.35,9.4,9.45,9.31,60694,57027996.0,1.5,0.53,0.05,0.26,000050
2023-06-13,000050,9.4,9.43,9.45,9.32,48582,45625490.79,1.38,0.32,0.03,0.2,000050
2023-06-14,000050,9.43,9.33,9.48,9.31,59370,55570913.37,1.8,-1.06,-0.1,0.25,000050
2023-06-15,000050,9.3,9.33,9.41,9.28,51921,48547600.15,1.39,0.0,0.0,0.22,000050
2023-06-16,000050,9.35,9.49,9.49,9.3,66842,62966283.0,2.04,1.71,0.16,0.28,000050
2023-06-19,000050,9.46,9.55,9.64,9.43,96006,91636676.2,2.21,0.63,0.06,0.4,000050
2023-06-20,000050,9.56,9.35,9.56,9.33,73542,69113948.48,2.41,-2.09,-0.2,0.31,000050
2023-06-21,000050,9.3,9.18,9.34,9.18,73685,68092512.0,1.71,-1.82,-0.17,0.31,000050
2023-06-26,000050,9.13,9.0,9.14,9.0,72331,65455024.39,1.53,-1.96,-0.18,0.3,000050
2023-06-27,000050,9.06,9.18,9.22,9.0,57847,52900268.0,2.44,2.0,0.18,0.24,000050
2023-06-28,000050,9.23,9.04,9.23,8.97,80182,72439876.0,2.83,-1.53,-0.14,0.34,000050
2023-06-29,000050,9.02,9.07,9.13,9.01,47591,43150731.45,1.33,0.33,0.03,0.2,000050
2023-06-30,000050,9.06,9.18,9.2,9.05,51645,47243347.38,1.65,1.21,0.11,0.22,000050
2023-07-03,000050,9.24,9.25,9.42,9.18,93763,87089603.8,2.61,0.76,0.07,0.39,000050
2023-07-04,000050,9.26,9.36,9.37,9.21,63255,58903839.0,1.73,1.19,0.11,0.27,000050
2023-07-05,000050,9.36,9.37,9.42,9.29,62842,58863265.07,1.39,0.11,0.01,0.26,000050
2023-07-06,000050,9.37,9.48,9.58,9.33,100013,95030416.49,2.67,1.17,0.11,0.42,000050
2023-07-07,000050,9.48,9.41,9.53,9.37,63244,59617069.04,1.69,-0.74,-0.07,0.27,000050
2023-07-10,000050,9.41,9.36,9.45,9.33,53006,49723988.83,1.28,-0.53,-0.05,0.22,000050
2023-07-11,000050,9.36,9.43,9.45,9.35,42889,40365842.56,1.07,0.75,0.07,0.18,000050
