date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000550,11.51,12.17,12.25,11.46,72566,100048503.27,6.8,4.82,0.56,1.4,000550
2023-01-04,000550,12.16,12.18,12.3,12.07,34743,48648569.04,1.89,0.08,0.01,0.67,000550
2023-01-05,000550,12.24,12.29,12.53,12.22,42343,59965129.82,2.55,0.9,0.11,0.82,000550
2023-01-06,000550,12.3,12.29,12.56,12.24,35749,50727553.48,2.6,0.0,0.0,0.69,000550
2023-01-09,000550,12.46,12.42,12.53,12.34,39503,56362536.93,1.55,1.06,0.13,0.76,000550
2023-01-10,000550,12.44,12.63,12.74,12.29,66510,95706652.72,3.62,1.69,0.21,1.28,000550
2023-01-11,000550,12.52,12.58,12.74,12.48,46147,66657847.51,2.06,-0.4,-0.05,0.89,000550
2023-01-12,000550,12.59,12.59,12.78,12.56,31968,46299455.22,1.75,0.08,0.01,0.62,000550
2023-01-13,000550,12.68,12.61,12.72,12.53,24078,34725876.94,1.51,0.16,0.02,0.46,000550
2023-01-16,000550,12.58,12.57,12.68,12.48,35600,51333328.6,1.59,-0.32,-0.04,0.69,000550
2023-01-17,000550,12.67,12.54,12.7,12.49,26028,37474565.29,1.67,-0.24,-0.03,0.5,000550
2023-01-18,000550,12.51,12.55,12.69,12.47,26646,38357304.1,1.75,0.08,0.01,0.51,000550
2023-01-19,000550,12.55,12.47,12.58,12.38,29059,41493182.38,1.59,-0.64,-0.08,0.56,000550
2023-01-20,000550,12.48,12.68,12.72,12.48,38769,56068565.08,1.92,1.68,0.21,0.75,000550
2023-01-30,000550,12.98,12.98,13.28,12.97,86358,128884174.74,2.44,2.37,0.3,1.67,000550
2023-01-31,000550,12.99,13.22,13.3,12.99,70825,106406898.99,2.39,1.85,0.24,1.37,000550
2023-02-01,000550,13.2,13.49,13.53,13.14,68646,104502041.66,2.95,2.04,0.27,1.32,000550
2023-02-02,000550,13.5,13.52,13.77,13.41,81188,125044881.22,2.67,0.22,0.03,1.57,000550
2023-02-03,000550,13.42,13.3,13.56,13.18,51889,78546177.28,2.81,-1.63,-0.22,1.0,000550
2023-02-06,000550,13.3,13.22,13.48,13.16,43132,65247508.42,2.41,-0.6,-0.08,0.83,000550
2023-02-07,000550,13.23,13.4,13.41,13.06,46830,70636350.69,2.65,1.36,0.18,0.9,000550
2023-02-08,000550,13.26,13.32,13.47,13.26,29946,45496512.96,1.57,-0.6,-0.08,0.58,000550
2023-02-09,000550,13.32,13.54,13.56,13.28,39436,60410949.52,2.1,1.65,0.22,0.76,000550
2023-02-10,000550,13.48,13.32,13.5,13.23,36438,55210933.3,1.99,-1.62,-0.22,0.7,000550
2023-02-13,000550,13.31,13.55,13.68,13.29,42168,64645672.08,2.93,1.73,0.23,0.81,000550
2023-02-14,000550,13.56,13.48,13.59,13.38,29502,45033975.56,1.55,-0.52,-0.07,0.57,000550
2023-02-15,000550,13.52,13.49,13.73,13.47,35707,54939325.15,1.93,0.07,0.01,0.69,000550
2023-02-16,000550,13.52,13.17,13.66,13.04,47384,72096533.12,4.6,-2.37,-0.32,0.91,000550
2023-02-17,000550,13.18,13.22,13.41,13.17,31862,48100301.35,1.82,0.38,0.05,0.61,000550
2023-02-20,000550,13.22,13.38,13.45,13.12,29501,44661586.11,2.5,1.21,0.16,0.57,000550
2023-02-21,000550,13.42,13.8,13.9,13.38,85003,132336481.87,3.89,3.14,0.42,1.64,000550
2023-02-22,000550,13.74,13.86,13.89,13.7,49183,76810267.6,1.38,0.43,0.06,0.95,000550
2023-02-23,000550,13.87,13.87,14.04,13.78,52799,83075035.94,1.88,0.07,0.01,1.02,000550
2023-02-24,000550,13.8,13.64,13.83,13.55,30291,46880543.0,2.02,-1.66,-0.23,0.58,000550
2023-02-27,000550,13.65,13.57,13.73,13.48,29360,45216134.31,1.83,-0.51,-0.07,0.57,000550
2023-02-28,000550,13.56,13.59,13.68,13.39,27866,42756672.68,2.14,0.15,0.02,0.54,000550
2023-03-01,000550,13.59,13.58,13.7,13.5,30565,47112362.18,1.47,-0.07,-0.01,0.59,000550
2023-03-02,000550,13.53,13.58,13.78,13.51,34473,53209236.29,1.99,0.0,0.0,0.66,000550
2023-03-03,000550,13.64,13.44,13.64,13.28,36476,55551729.08,2.65,-1.03,-0.14,0.7,000550
2023-03-06,000550,13.45,13.36,13.53,13.26,32813,49777725.62,2.01,-0.6,-0.08,0.63,000550
2023-03-07,000550,13.3,13.14,13.65,13.14,54638,82946610.22,3.82,-1.65,-0.22,1.05,000550
2023-03-08,000550,13.11,13.19,13.29,12.95,28048,42010955.24,2.59,0.38,0.05,0.54,000550
2023-03-09,000550,13.23,13.14,13.34,13.12,26269,39492881.77,1.67,-0.38,-0.05,0.51,000550
2023-03-10,000550,13.15,12.57,13.15,12.55,54310,79134354.37,4.57,-4.34,-0.57,1.05,000550
2023-03-13,000550,12.57,12.34,12.63,12.11,45671,64509120.85,4.14,-1.83,-0.23,0.88,000550
2023-03-14,000550,12.27,12.23,12.41,11.91,38507,53737784.3,4.05,-0.89,-0.11,0.74,000550
2023-03-15,000550,12.25,12.24,12.33,12.18,27359,38461114.31,1.23,0.08,0.01,0.53,000550
2023-03-16,000550,12.25,12.04,12.28,11.97,27037,37628972.35,2.53,-1.63,-0.2,0.52,000550
2023-03-17,000550,12.13,12.08,12.22,12.02,25669,35828552.7,1.66,0.33,0.04,0.5,000550
2023-03-20,000550,12.1,12.1,12.21,11.96,28919,40209969.73,2.07,0.17,0.02,0.56,000550
2023-03-21,000550,12.19,12.36,12.38,12.12,31364,44273931.95,2.15,2.15,0.26,0.6,000550
2023-03-22,000550,12.48,12.46,12.71,12.4,37246,53547151.34,2.51,0.81,0.1,0.72,000550
2023-03-23,000550,12.42,12.36,12.55,12.33,21714,30860660.0,1.77,-0.8,-0.1,0.42,000550
2023-03-24,000550,12.36,12.37,12.44,12.31,24174,34302248.48,1.05,0.08,0.01,0.47,000550
2023-03-27,000550,12.38,12.3,12.43,12.09,38453,54000654.0,2.75,-0.57,-0.07,0.74,000550
2023-03-28,000550,12.38,12.29,12.43,12.24,29964,42359210.14,1.54,-0.08,-0.01,0.58,000550
2023-03-29,000550,12.33,12.19,12.38,12.11,29162,41001436.16,2.2,-0.81,-0.1,0.56,000550
2023-03-30,000550,12.16,11.91,12.17,11.59,71343,97200636.05,4.76,-2.3,-0.28,1.38,000550
2023-03-31,000550,12.02,12.32,12.35,11.88,65484,91626662.61,3.95,3.44,0.41,1.26,000550
2023-04-03,000550,12.38,12.11,12.38,11.98,47941,66817396.76,3.25,-1.7,-0.21,0.92,000550
2023-04-04,000550,12.11,11.89,12.17,11.83,37727,51820581.15,2.81,-1.82,-0.22,0.73,000550
2023-04-06,000550,11.88,11.67,11.89,11.63,34342,46480810.01,2.19,-1.85,-0.22,0.66,000550
2023-04-07,000550,11.73,11.72,11.85,11.64,32228,43764479.2,1.8,0.43,0.05,0.62,000550
2023-04-10,000550,11.68,11.58,11.81,11.53,38666,52058287.83,2.39,-1.19,-0.14,0.75,000550
2023-04-11,000550,11.54,11.64,11.65,11.46,28192,37693945.81,1.64,0.52,0.06,0.54,000550
2023-04-12,000550,11.58,11.45,11.65,11.44,34730,46247682.0,1.8,-1.63,-0.19,0.67,000550
