code,selected_count,max_streak,avg_rank,avg_score,last_selected
000609,543,61,8.128913443830571,0.02946809181096619,2025-12-31
000620,513,70,9.005847953216374,0.013374277206382804,2025-12-31
000571,509,77,8.518664047151278,0.002002433900396806,2025-12-31
000572,502,52,9.928286852589641,-0.007063778006622774,2025-12-31
000659,499,62,10.41683366733467,-0.005683076634268113,2025-12-29
000506,489,59,7.423312883435583,0.04738274545091543,2025-12-31
000536,475,56,9.429473684210526,-0.000929337318549798,2025-12-22
000633,468,46,10.384615384615385,-0.005906042295046971,2025-12-24
000639,466,46,11.731759656652361,-0.01604201503378594,2025-12-31
000426,463,49,10.030237580993521,-0.021397757880364913,2025-12-22
000632,459,53,11.0239651416122,-0.0011056887711651713,2025-12-26
000603,456,59,9.052631578947368,-0.01265021908199731,2025-12-18
000663,451,43,11.465631929046562,-0.016129131799916492,2025-12-31
000070,445,62,9.280898876404494,-0.0002818027689319763,2025-12-31
000546,443,70,9.830699774266366,-0.0030820713218037807,2025-12-30
000561,417,38,11.03357314148681,-0.013581282670760994,2025-12-31
000533,411,39,11.328467153284672,-0.00500906644149994,2025-12-31
000530,409,30,11.190709046454767,-0.0065383051491554305,2025-12-31
000510,408,46,11.200980392156863,-0.013824881616425694,2025-12-19
000657,403,32,10.937965260545905,-0.020817691142598252,2025-12-12
000534,399,37,10.781954887218046,-0.014897281898329118,2025-12-24
000017,386,53,10.549222797927461,-0.004720744755346062,2025-12-31
000592,374,49,9.93048128342246,-0.0013290872541609924,2025-11-17
000048,371,31,11.172506738544474,-0.03026426132341304,2025-12-31
000417,359,50,10.802228412256268,-0.013317186999986567,2025-12-30
000566,353,45,9.813031161473088,-0.00032656022185892873,2025-12-31
000532,346,47,11.708092485549132,-0.01424318924828551,2025-12-30
000593,341,35,11.941348973607038,-0.015040902623531052,2025-12-31
000559,339,25,12.168141592920353,-0.02651643341088897,2025-12-30
000036,310,36,11.061290322580644,-0.008042750089620567,2025-12-26
000551,300,36,12.836666666666666,-0.029566653561957056,2025-12-30
000547,285,35,11.740350877192983,-0.01839253955263208,2025-12-05
000523,278,23,11.305755395683454,-0.018270871985667746,2025-12-31
000078,266,25,11.718045112781954,-0.013566957243950085,2025-12-31
000411,245,27,12.318367346938775,-0.03849961156904886,2025-12-31
000505,196,23,12.39795918367347,-0.01997928306853885,2025-12-31
000407,163,17,13.650306748466258,-0.010816852563799169,2025-12-31
