month,return
2023-01,0.031801223357244224
2023-02,0.04322606166240073
2023-03,0.03793925055485725
2023-04,0.03326709182626475
2023-05,0.054171189204918146
2023-06,0.07637604329809244
2023-07,0.057353055175009215
2023-08,0.020260287192309434
2023-09,0.023690761634383772
2023-10,0.02253924924209083
2023-11,0.09114996925513275
2023-12,0.023207396415968917
2024-01,0.00817967416801002
2024-02,0.16203151238052627
2024-03,0.09810230472574166
2024-04,-0.0174619200431837
2024-05,0.00884667925603888
2024-06,-0.02141418236763748
2024-07,0.09098122756337323
2024-08,0.019774288974057308
2024-09,0.12628971009436274
2024-10,0.14368321986310817
2024-11,0.09188873686321686
2024-12,0.037161492845163346
2025-01,0.009385614623068195
2025-02,0.017400118281470478
2025-03,-0.0032744942668999633
2025-04,0.0023408542565055424
2025-05,0.010951599527121436
2025-06,0.0039060306342744155
2025-07,-0.009308792398552423
2025-08,0.009933437750180074
2025-09,-0.016005032541880793
2025-10,0.0341862444272929
2025-11,0.04256949378236152
2025-12,0.01688480281381821
