segment,rows,avg_max_fwd_ret,avg_min_fwd_ret,positive_label_rate,negative_label_rate,avg_score,train_end,valid_end
all,234,0.019647723255624718,-0.013498764753162229,0.16666666666666666,0.4230769230769231,0.0363949428129532,2024-04-19,2024-05-27
top10pct,24,0.05230639808898952,-0.007351368289946286,0.9166666666666666,0.08333333333333333,0.6135092494588451,2024-04-19,2024-05-27
buy,29,0.046235408335500945,-0.007750369050495306,0.8275862068965517,0.13793103448275862,0.592761120501849,2024-04-19,2024-05-27
