segment,rows,avg_max_fwd_ret,avg_min_fwd_ret,positive_label_rate,negative_label_rate,avg_score,train_end,valid_end
all,26823,0.055503205091887456,-0.042086164389500844,0.13935801364500616,0.5791671326846363,-0.05242491287544272,2024-12-31,2025-06-30
top10pct,2683,0.13269632760341565,-0.028116590652695127,0.5601938128960119,0.22698471859858368,0.15256988930008938,2024-12-31,2025-06-30
buy,112,0.20915791757560606,0.0014994228393179804,1.0,0.0,0.5145648856864795,2024-12-31,2025-06-30
