feature,importance
atr_14,1181
macd_dea,1108
turnover_rate,999
macd_hist,965
ret_20d,916
macd_dif,848
amplitude,847
rsi_14,807
ret_1d,789
ma5_slope,787
volume_ratio_5,706
lower_shadow,669
upper_shadow,628
kdj_j,612
kdj_d,591
ret_10d,565
volume_ratio_20,558
ma10_slope,557
close_ma5_ratio,523
close_ma20_ratio,523
rsi_6,523
kdj_k,512
ret_3d,478
ret_5d,476
close_ma10_ratio,468
amount_ratio_20,364
