code,date,why_selected
000001,2024-06-28,lower_shadow=0.0010；atr_14=0.0150；volume_ratio_5=1.0949；ret_1d=0.0020；kdj_j=84.8085
600000,2024-06-28,lower_shadow=0.0061；atr_14=0.0178；volume_ratio_5=0.9803；ret_1d=0.0012；kdj_j=86.2746
