feature,importance
macd_dea,351
upper_shadow,169
kdj_k,158
kdj_j,136
ret_1d,130
kdj_d,122
lower_shadow,114
turnover_rate,113
macd_dif,105
close_ma5_ratio,90
atr_14,79
volume_ratio_20,75
amplitude,54
rsi_6,48
macd_hist,46
ma5_slope,45
rsi_14,45
ret_5d,43
volume_ratio_5,38
ret_20d,29
close_ma10_ratio,26
ma10_slope,15
amount_ratio_20,14
ret_3d,13
ret_10d,13
close_ma20_ratio,0
