segment,rows,avg_max_fwd_ret,avg_min_fwd_ret,positive_label_rate,negative_label_rate,avg_score,train_end,valid_end
all,474,0.03813807557009697,-0.035561067311433575,0.2742616033755274,0.6856540084388185,-0.011646552294840544,2025-05-13,2025-06-26
top10pct,48,0.0654328955917082,-0.010089231692429403,0.9791666666666666,0.020833333333333332,0.5920712280196009,2025-05-13,2025-06-26
buy,71,0.06465144868897264,-0.010362651373384917,0.971830985915493,0.028169014084507043,0.5676021946233616,2025-05-13,2025-06-26
