code,date,why_selected
000001,2024-06-28,rsi_6=70.8333；volume_ratio_20=0.9494；lower_shadow=0.0010；ma10_slope=-0.0005；volume_ratio_5=1.0949
600000,2024-06-28,rsi_6=61.5385；volume_ratio_20=0.9526；lower_shadow=0.0061；ma10_slope=0.0034；volume_ratio_5=0.9803
