date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000060,3.86,3.9,3.91,3.82,176457,72549414.98,2.33,1.04,0.04,0.47,000060
2023-01-04,000060,3.9,3.88,3.91,3.86,150441,62028694.68,1.28,-0.51,-0.02,0.4,000060
2023-01-05,000060,3.89,3.89,3.9,3.87,168962,69692052.35,0.77,0.26,0.01,0.45,000060
2023-01-06,000060,3.88,3.88,3.93,3.87,181277,75043301.29,1.54,-0.26,-0.01,0.49,000060
2023-01-09,000060,3.91,3.97,3.99,3.89,370690,155452340.09,2.58,2.32,0.09,0.99,000060
2023-01-10,000060,4.0,3.94,4.01,3.94,222760,93750146.09,1.76,-0.76,-0.03,0.6,000060
2023-01-11,000060,3.96,3.97,3.99,3.95,208627,87883309.27,1.02,0.76,0.03,0.56,000060
2023-01-12,000060,3.99,3.95,4.0,3.93,170191,71562917.9,1.76,-0.5,-0.02,0.46,000060
2023-01-13,000060,3.98,3.99,4.02,3.95,211069,89091752.48,1.77,1.01,0.04,0.56,000060
2023-01-16,000060,3.99,4.0,4.04,3.99,250250,106449807.83,1.25,0.25,0.01,0.67,000060
2023-01-17,000060,4.0,4.01,4.02,3.98,145389,61633891.36,1.0,0.25,0.01,0.39,000060
2023-01-18,000060,4.01,4.05,4.07,4.0,316096,135494381.5,1.75,1.0,0.04,0.85,000060
2023-01-19,000060,4.03,4.08,4.08,4.01,254643,109285635.18,1.73,0.74,0.03,0.68,000060
2023-01-20,000060,4.1,4.19,4.2,4.08,509625,224260880.55,2.94,2.7,0.11,1.36,000060
2023-01-30,000060,4.24,4.17,4.29,4.16,499044,222275600.63,3.1,-0.48,-0.02,1.34,000060
2023-01-31,000060,4.18,4.2,4.22,4.16,307706,136436823.5,1.44,0.72,0.03,0.82,000060
2023-02-01,000060,4.22,4.34,4.39,4.2,714356,326194248.99,4.52,3.33,0.14,1.91,000060
2023-02-02,000060,4.33,4.29,4.33,4.26,368166,166544628.77,1.61,-1.15,-0.05,0.99,000060
2023-02-03,000060,4.26,4.23,4.27,4.16,422349,188009064.93,2.56,-1.4,-0.06,1.13,000060
2023-02-06,000060,4.16,4.18,4.22,4.15,237909,105261149.78,1.65,-1.18,-0.05,0.64,000060
2023-02-07,000060,4.19,4.22,4.23,4.18,221129,98269066.86,1.2,0.96,0.04,0.59,000060
2023-02-08,000060,4.23,4.17,4.24,4.16,179755,79672730.65,1.9,-1.18,-0.05,0.48,000060
2023-02-09,000060,4.16,4.2,4.21,4.15,164778,73035518.91,1.44,0.72,0.03,0.44,000060
2023-02-10,000060,4.18,4.17,4.2,4.15,189226,83545980.45,1.19,-0.71,-0.03,0.51,000060
2023-02-13,000060,4.17,4.21,4.23,4.16,233828,103954047.18,1.68,0.96,0.04,0.63,000060
2023-02-14,000060,4.23,4.24,4.3,4.21,362475,163015572.52,2.14,0.71,0.03,0.97,000060
2023-02-15,000060,4.25,4.23,4.29,4.21,289228,129449037.51,1.89,-0.24,-0.01,0.77,000060
2023-02-16,000060,4.22,4.15,4.26,4.1,371570,164904793.56,3.78,-1.89,-0.08,0.99,000060
2023-02-17,000060,4.16,4.16,4.2,4.15,206410,91149118.68,1.2,0.24,0.01,0.55,000060
