date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000158,5.58,5.83,5.97,5.56,268635,155653217.99,7.33,4.29,0.24,1.7,000158
2023-01-04,000158,5.83,5.9,5.92,5.8,248192,146300475.74,2.06,1.2,0.07,1.57,000158
2023-01-05,000158,5.92,5.85,5.96,5.83,144334,84980635.79,2.2,-0.85,-0.05,0.91,000158
2023-01-06,000158,5.82,5.76,5.84,5.74,167939,97750496.85,1.71,-1.54,-0.09,1.06,000158
2023-01-09,000158,5.77,5.74,5.82,5.72,104410,60420283.4,1.74,-0.35,-0.02,0.66,000158
2023-01-10,000158,5.76,5.77,5.81,5.69,109901,63553284.63,2.09,0.52,0.03,0.7,000158
2023-01-11,000158,5.77,5.64,5.78,5.63,121295,69517450.4,2.6,-2.25,-0.13,0.77,000158
2023-01-12,000158,5.63,5.65,5.7,5.6,96280,54709859.4,1.77,0.18,0.01,0.61,000158
2023-01-13,000158,5.68,5.65,5.68,5.6,86099,48762900.1,1.42,0.0,0.0,0.54,000158
2023-01-16,000158,5.65,5.73,5.76,5.65,122953,70722623.84,1.95,1.42,0.08,0.78,000158
2023-01-17,000158,5.72,5.68,5.74,5.67,72905,41741150.4,1.22,-0.87,-0.05,0.46,000158
2023-01-18,000158,5.68,5.76,5.81,5.67,132482,76640936.65,2.46,1.41,0.08,0.84,000158
2023-01-19,000158,5.75,5.89,5.95,5.74,251339,148144493.08,3.65,2.26,0.13,1.59,000158
2023-01-20,000158,5.86,5.93,6.03,5.86,285838,170678890.9,2.89,0.68,0.04,1.81,000158
2023-01-30,000158,6.01,5.97,6.03,5.96,216808,130489063.83,1.18,0.67,0.04,1.37,000158
2023-01-31,000158,5.95,5.92,5.96,5.88,175629,104396683.22,1.34,-0.84,-0.05,1.11,000158
2023-02-01,000158,5.93,6.16,6.19,5.91,414911,253761149.15,4.73,4.05,0.24,2.62,000158
2023-02-02,000158,6.13,6.21,6.37,6.09,461332,288761326.58,4.55,0.81,0.05,2.92,000158
2023-02-03,000158,6.15,6.25,6.3,6.14,331365,206884276.77,2.58,0.64,0.04,2.1,000158
2023-02-06,000158,6.32,6.33,6.52,6.25,520409,333305964.45,4.32,1.28,0.08,3.29,000158
2023-02-07,000158,6.22,6.34,6.4,6.19,335716,212480019.61,3.32,0.16,0.01,2.12,000158
2023-02-08,000158,6.33,6.24,6.36,6.22,253510,159644796.11,2.21,-1.58,-0.1,1.6,000158
2023-02-09,000158,6.2,6.33,6.37,6.17,294360,185412007.57,3.21,1.44,0.09,1.86,000158
2023-02-10,000158,6.37,6.32,6.45,6.27,233699,149357164.98,2.84,-0.16,-0.01,1.48,000158
