date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-01-03,000428,6.73,6.73,6.1,6.2,148856903,942861000.83,14.6098,-5.6317,0
2023-01-04,000428,6.19,6.42,6.08,6.34,107509739,673230360.75,10.5517,2.2581,0
2023-01-05,000428,6.18,6.23,5.99,6.15,73474804,448601228.85,7.2113,-2.9968,0
2023-01-06,000428,6.08,6.12,5.86,5.9,69116730,411413365.17,6.7836,-4.065,0
2023-01-09,000428,5.86,6.06,5.83,5.96,46639771,277683502.34,4.5775,1.0169,0
2023-01-10,000428,5.91,6.05,5.76,5.84,51502260,302040351.24,5.0548,-2.0134,0
2023-01-11,000428,5.8,5.81,5.55,5.55,55288011,311772258.79,5.4263,-4.9658,0
2023-01-12,000428,5.51,5.57,5.39,5.42,47417771,258870069.11,4.6539,-2.3423,0
2023-01-13,000428,5.39,5.49,5.38,5.48,29992137,163527420.72,2.9436,1.107,0
2023-01-16,000428,5.49,5.61,5.48,5.58,32231687,179355451.84,3.1634,1.8248,0
2023-01-17,000428,5.59,5.71,5.53,5.68,38365835,216187692.64,3.7655,1.7921,0
2023-01-18,000428,5.68,5.7,5.54,5.54,28221500,157818754.87,2.7698,-2.4648,0
2023-01-19,000428,5.5,5.54,5.4,5.41,25653825,139891447.95,2.5178,-2.3466,0
2023-01-20,000428,5.43,5.62,5.43,5.57,32131130,178031570.4,3.1536,2.9575,0
2023-01-30,000428,5.68,5.72,5.51,5.51,39210980,218575452.8,3.8484,-1.0772,0
2023-01-31,000428,5.44,5.49,5.3,5.34,38264877,205749029.3,3.7556,-3.0853,0
2023-02-01,000428,5.3,5.33,5.18,5.32,41736412,218765846.62,4.0963,-0.3745,0
2023-02-02,000428,5.31,5.4,5.25,5.39,33864232,180695228.56,3.3237,1.3158,0
2023-02-03,000428,5.39,5.39,5.25,5.29,24246481,128315082.3,2.3797,-1.8553,0
2023-02-06,000428,5.26,5.39,5.22,5.29,20810716,110727734.6,2.0425,0.0,0
2023-02-07,000428,5.28,5.33,5.18,5.25,24456065,127888007.95,2.4003,-0.7561,0
2023-02-08,000428,5.22,5.34,5.21,5.31,22142854,117186067.63,2.1732,1.1429,0
2023-02-09,000428,5.33,5.43,5.3,5.43,32574336,175691412.47,3.1971,2.2599,0
2023-02-10,000428,5.43,5.64,5.42,5.62,67777043,377755285.85,6.6521,3.4991,0
2023-02-13,000428,5.64,5.66,5.53,5.65,56703701,317097760.86,5.5653,0.5338,0
2023-02-14,000428,5.64,5.64,5.42,5.43,49410723,271339605.31,4.8495,-3.8938,0
2023-02-15,000428,5.41,5.43,5.31,5.33,28701839,153352623.91,2.817,-1.8416,0
2023-02-16,000428,5.31,5.39,5.08,5.13,37395908,196832657.99,3.6703,-3.7523,0
2023-02-17,000428,5.1,5.22,5.08,5.13,23433318,120654413.84,2.2999,0.0,0
2023-02-20,000428,5.11,5.19,5.07,5.19,15784208,81048478.23,1.5492,1.1696,0
2023-02-21,000428,5.2,5.2,5.13,5.17,14576800,75198753.0,1.4307,-0.3854,0
2023-02-22,000428,5.17,5.2,5.13,5.2,16049803,82987165.31,1.5752,0.5803,0
2023-02-23,000428,5.18,5.23,5.13,5.15,12293130,63458032.95,1.2065,-0.9615,0
2023-02-24,000428,5.15,5.17,5.08,5.1,11413909,58291674.32,1.1202,-0.9709,0
2023-02-27,000428,5.1,5.19,5.05,5.18,20715484,106591764.96,2.0332,1.5686,0
2023-02-28,000428,5.15,5.3,5.13,5.27,25202473,131800096.35,2.4735,1.7375,0
2023-03-01,000428,5.26,5.27,5.2,5.25,16292331,85229875.66,1.599,-0.3795,0
2023-03-02,000428,5.24,5.27,5.17,5.24,21615899,112852698.33,2.1215,-0.1905,0
2023-03-03,000428,5.22,5.46,5.2,5.42,49661956,266296774.62,4.8742,3.4351,0
2023-03-06,000428,5.39,5.68,5.36,5.58,70142444,385300204.19,6.8843,2.952,0
2023-03-07,000428,5.51,5.53,5.38,5.38,43163183,234475163.45,4.2363,-3.5842,0
2023-03-08,000428,5.37,5.42,5.32,5.39,18516213,99544118.34,1.8173,0.1859,0
2023-03-09,000428,5.38,5.4,5.24,5.25,24055201,127253152.82,2.3609,-2.5974,0
2023-03-10,000428,5.2,5.28,5.14,5.14,17245268,89725903.28,1.6926,-2.0952,0
2023-03-13,000428,5.15,5.27,5.13,5.25,18326587,95618366.66,1.7987,2.1401,0
2023-03-14,000428,5.24,5.24,5.09,5.1,20308787,104432369.57,1.9932,-2.8571,0
2023-03-15,000428,5.12,5.17,5.08,5.1,13816300,70661474.12,1.356,0.0,0
2023-03-16,000428,5.07,5.1,4.95,4.96,21872267,109598285.3,2.1467,-2.7451,0
2023-03-17,000428,4.98,5.07,4.98,5.03,15132608,76099158.44,1.4852,1.4113,0
2023-03-20,000428,5.05,5.11,5.02,5.09,12716837,64444847.45,1.2481,1.1928,0
2023-03-21,000428,5.08,5.23,5.06,5.2,23624752,122370828.4,2.3187,2.1611,0
2023-03-22,000428,5.19,5.21,5.11,5.17,14721112,75872566.26,1.4448,-0.5769,0
2023-03-23,000428,5.16,5.17,5.1,5.15,13159000,67546474.0,1.2915,-0.3868,0
