code,date,why_selected
000001,2024-06-28,ret_1d=0.0020；down_limit_count=0.0000；sector_rank=1.0000；sector_ret_5d=1.4954；sector_ret_1d=0.1974
600000,2024-06-28,ret_1d=0.0012；down_limit_count=0.0000；sector_rank=0.5000；sector_ret_5d=0.7342；sector_ret_1d=0.1217
