code,date,why_selected
000663,2025-12-31,atr_14=0.0509；turnover_rate=5.1400；amplitude=0.0542；ret_1d=-0.0238；lower_shadow=0.0203
000547,2025-12-31,atr_14=0.0704；turnover_rate=35.7700；amplitude=0.0980；ret_1d=0.1000；lower_shadow=0.0248
000657,2025-12-31,atr_14=0.0592；turnover_rate=4.5600；amplitude=0.0357；ret_1d=-0.0118；lower_shadow=0.0051
000524,2025-12-31,atr_14=0.0273；turnover_rate=0.9700；amplitude=0.0151；ret_1d=0.0017；lower_shadow=0.0109
000566,2025-12-31,atr_14=0.0780；turnover_rate=9.3495；amplitude=0.0395；ret_1d=0.0085；lower_shadow=0.0182
000100,2025-12-31,atr_14=0.0250；turnover_rate=1.5500；amplitude=0.0225；ret_1d=0.0000；lower_shadow=0.0135
000403,2025-12-31,atr_14=0.0250；turnover_rate=0.6700；amplitude=0.0094；ret_1d=-0.0065；lower_shadow=0.0015
000528,2025-12-31,atr_14=0.0292；turnover_rate=1.4765；amplitude=0.0192；ret_1d=-0.0067；lower_shadow=0.0084
000048,2025-12-31,atr_14=0.0357；turnover_rate=6.3700；amplitude=0.0528；ret_1d=0.0215；lower_shadow=0.0290
000425,2025-12-31,atr_14=0.0278；turnover_rate=0.7900；amplitude=0.0371；ret_1d=0.0221；lower_shadow=0.0095
000567,2025-12-31,atr_14=0.0564；turnover_rate=1.6400；amplitude=0.0431；ret_1d=-0.0108；lower_shadow=0.0187
000510,2025-12-31,atr_14=0.0736；turnover_rate=12.4400；amplitude=0.0805；ret_1d=-0.0585；lower_shadow=0.0017
000561,2025-12-31,atr_14=0.0435；turnover_rate=8.4600；amplitude=0.0292；ret_1d=-0.0097；lower_shadow=0.0098
000029,2025-12-31,atr_14=0.0348；turnover_rate=0.4900；amplitude=0.0347；ret_1d=-0.0104；lower_shadow=0.0132
000014,2025-12-31,atr_14=0.0278；turnover_rate=2.5000；amplitude=0.0280；ret_1d=-0.0074；lower_shadow=0.0067
000419,2025-12-31,atr_14=0.0411；turnover_rate=2.9400；amplitude=0.0264；ret_1d=-0.0093；lower_shadow=0.0125
000400,2025-12-31,atr_14=0.0254；turnover_rate=1.5400；amplitude=0.0159；ret_1d=-0.0031；lower_shadow=0.0078
000593,2025-12-31,atr_14=0.0418；turnover_rate=3.4700；amplitude=0.0268；ret_1d=-0.0009；lower_shadow=0.0107
000560,2025-12-31,atr_14=0.0188；turnover_rate=6.1600；amplitude=0.0314；ret_1d=0.0174；lower_shadow=0.0034
000620,2025-12-31,atr_14=0.0613；turnover_rate=3.9587；amplitude=0.0401；ret_1d=-0.0219；lower_shadow=0.0149
000514,2025-12-31,atr_14=0.0195；turnover_rate=1.7000；amplitude=0.0204；ret_1d=0.0020；lower_shadow=0.0102
000070,2025-12-31,atr_14=0.0607；turnover_rate=6.1300；amplitude=0.0301；ret_1d=-0.0200；lower_shadow=0.0085
000060,2025-12-31,atr_14=0.0308；turnover_rate=3.3100；amplitude=0.0345；ret_1d=0.0086；lower_shadow=0.0034
000572,2025-12-31,atr_14=0.0864；turnover_rate=7.8000；amplitude=0.0404；ret_1d=0.0000；lower_shadow=0.0147
000526,2025-12-31,atr_14=0.0259；turnover_rate=2.9700；amplitude=0.0292；ret_1d=0.0307；lower_shadow=0.0061
000063,2025-12-31,atr_14=0.0265；turnover_rate=3.2200；amplitude=0.0215；ret_1d=0.0153；lower_shadow=0.0032
000411,2025-12-31,atr_14=0.0476；turnover_rate=12.2100；amplitude=0.0431；ret_1d=-0.0363；lower_shadow=0.0078
000617,2025-12-31,atr_14=0.0293；turnover_rate=0.8900；amplitude=0.0219；ret_1d=-0.0114；lower_shadow=0.0063
000408,2025-12-31,atr_14=0.0433；turnover_rate=0.8600；amplitude=0.0407；ret_1d=0.0062；lower_shadow=0.0095
000533,2025-12-31,atr_14=0.0516；turnover_rate=6.1600；amplitude=0.0401；ret_1d=-0.0177；lower_shadow=0.0204
000058,2025-12-31,atr_14=0.0340；turnover_rate=1.2200；amplitude=0.0247；ret_1d=0.0064；lower_shadow=0.0149
000422,2025-12-31,atr_14=0.0293；turnover_rate=2.5200；amplitude=0.0210；ret_1d=-0.0231；lower_shadow=0.0021
000571,2025-12-31,atr_14=0.0601；turnover_rate=2.6600；amplitude=0.0206；ret_1d=0.0069；lower_shadow=0.0154
000582,2025-12-31,atr_14=0.0475；turnover_rate=2.6600；amplitude=0.0456；ret_1d=0.0087；lower_shadow=0.0043
000420,2025-12-31,atr_14=0.0429；turnover_rate=14.8000；amplitude=0.0629；ret_1d=-0.0174；lower_shadow=0.0243
000407,2025-12-31,atr_14=0.0555；turnover_rate=8.3100；amplitude=0.0348；ret_1d=-0.0309；lower_shadow=0.0060
000609,2025-12-31,atr_14=0.0648；turnover_rate=6.6700；amplitude=0.0686；ret_1d=0.0183；lower_shadow=0.0449
000628,2025-12-31,atr_14=0.0398；turnover_rate=5.2800；amplitude=0.0431；ret_1d=-0.0429；lower_shadow=0.0004
000021,2025-12-31,atr_14=0.0331；turnover_rate=10.0100；amplitude=0.0606；ret_1d=0.0330；lower_shadow=0.0128
000006,2025-12-31,atr_14=0.0358；turnover_rate=2.0000；amplitude=0.0345；ret_1d=0.0091；lower_shadow=0.0261
000633,2025-12-31,atr_14=0.0402；turnover_rate=3.1900；amplitude=0.0248；ret_1d=-0.0083；lower_shadow=0.0083
000599,2025-12-31,atr_14=0.0374；turnover_rate=5.6500；amplitude=0.0741；ret_1d=0.0216；lower_shadow=0.0302
