code,name,is_st
000001,平安银行,False
000002,万  科Ａ,False
000004,国华退,False
000006,深振业Ａ,False
000007,全新好,False
000008,神州高铁,False
000009,中国宝安,False
000010,*ST美丽,True
000011,深物业A,False
000012,南  玻Ａ,False
000014,沙河股份,False
000016,*ST康佳A,True
000017,深中华A,False
000019,深粮控股,False
000020,深华发Ａ,False
000021,深科技,False
000025,特  力Ａ,False
000026,飞亚达,False
000027,深圳能源,False
000028,国药一致,False
000029,深深房Ａ,False
000030,富奥股份,False
000031,大悦城,False
000032,深桑达Ａ,False
000034,神州数码,False
000035,中国天楹,False
000036,华联控股,False
000037,深南电A,False
000039,中集集团,False
000042,中洲控股,False
000045,深纺织Ａ,False
000048,京基智农,False
000049,德赛电池,False
000050,深天马Ａ,False
000055,方大集团,False
000056,*ST皇庭,True
000058,深 赛 格,False
000059,华锦股份,False
000060,中金岭南,False
000061,农 产 品,False
000062,深圳华强,False
000063,中兴通讯,False
000065,北方国际,False
000066,中国长城,False
000068,华控赛格,False
000069,华侨城Ａ,False
000070,特发信息,False
000078,ST海王,True
000088,盐 田 港,False
000089,深圳机场,False
000090,天健集团,False
000096,广聚能源,False
000099,中信海直,False
000100,TCL科技,False
000151,中成股份,False
000153,丰原药业,False
000155,川能动力,False
000156,华数传媒,False
000157,中联重科,False
000158,常山北明,False
000159,国际实业,False
000166,申万宏源,False
000301,东方盛虹,False
000333,美的集团,False
000338,潍柴动力,False
000400,许继电气,False
000401,金隅冀东,False
000402,金 融 街,False
000403,派林生物,False
000404,长虹华意,False
000407,胜利股份,False
000408,藏格矿业,False
000409,云鼎科技,False
000410,沈阳机床,False
000411,英特集团,False
000415,渤海租赁,False
000417,合百集团,False
000419,通程控股,False
000420,吉林化纤,False
000421,南京公用,False
000422,湖北宜化,False
000423,东阿阿胶,False
000425,徐工机械,False
000426,兴业银锡,False
000428,华天酒店,False
000429,粤高速Ａ,False
000430,张家界,False
000488,ST晨鸣,True
000498,山东路桥,False
000501,武商集团,False
000503,国新健康,False
000504,南华生物,False
000505,京粮控股,False
000506,招金黄金,False
000507,珠海港,False
000509,华塑控股,False
000510,新金路,False
000513,丽珠集团,False
000514,渝 开 发,False
000516,国际医学,False
000517,荣安地产,False
000518,四环生物,False
000519,中兵红箭,False
000520,凤凰航运,False
000521,长虹美菱,False
000523,红棉股份,False
000524,岭南控股,False
000525,红太阳,False
000526,学大教育,False
000528,柳    工,False
000529,广弘控股,False
000530,冰山冷热,False
000531,穗恒运Ａ,False
000532,华金资本,False
000533,顺钠股份,False
000534,万泽股份,False
000536,华映科技,False
000537,绿发电力,False
000538,云南白药,False
000539,粤电力Ａ,False
000541,佛山照明,False
000543,皖能电力,False
000544,中原环保,False
000545,金浦钛业,False
000546,金圆股份,False
000547,航天发展,False
000548,湖南投资,False
000550,江铃汽车,False
000551,创元科技,False
000552,甘肃能化,False
000553,安道麦A,False
000554,泰山石油,False
000555,神州信息,False
000557,西部创业,False
000558,天府文旅,False
000559,万向钱潮,False
000560,我爱我家,False
000561,烽火电子,False
000563,陕国投Ａ,False
000564,供销大集,False
000565,渝三峡Ａ,False
000566,海南海药,False
000567,海德股份,False
000568,泸州老窖,False
000570,苏常柴Ａ,False
000571,新大洲A,False
000572,海马汽车,False
000573,粤宏远Ａ,False
000576,甘化科工,False
000581,威孚高科,False
000582,北部湾港,False
000586,汇源通信,False
000589,贵州轮胎,False
000590,古汉医药,False
000591,太阳能,False
000592,平潭发展,False
000593,德龙汇能,False
000595,*ST宝实,True
000596,古井贡酒,False
000597,东北制药,False
000598,兴蓉环境,False
000599,青岛双星,False
000600,建投能源,False
000601,韶能股份,False
000603,盛达资源,False
000605,渤海股份,False
000607,华媒控股,False
000608,阳光股份,False
000609,*ST中迪,True
000610,*ST西旅,True
000612,焦作万方,False
000615,*ST美谷,True
000617,中油资本,False
000619,海螺新材,False
000620,盈新发展,False
000623,吉林敖东,False
000625,长安汽车,False
000626,远大控股,False
000628,高新发展,False
000629,钒钛股份,False
000630,铜陵有色,False
000631,顺发恒能,False
000632,ST三木,True
000633,合金投资,False
000635,英 力 特,False
000636,风华高科,False
000637,茂化实华,False
000639,ST西王,True
000650,仁和药业,False
000651,格力电器,False
000652,泰达股份,False
000655,金岭矿业,False
000656,*ST金科,True
000657,中钨高新,False
000659,珠海中富,False
000661,长春高新,False
000663,永安林业,False
000665,湖北广电,False
000668,荣丰控股,False
000669,ST金鸿,True
