feature,importance
volume_ratio_5,521
upper_shadow,446
macd_hist,440
turnover_rate,425
ret_10d,406
amplitude,373
macd_dif,366
rsi_14,356
ret_1d,329
lower_shadow,324
macd_dea,312
kdj_d,308
ma10_slope,274
kdj_k,272
ret_3d,262
close_ma20_ratio,216
ret_20d,207
close_ma10_ratio,203
ret_5d,187
kdj_j,187
atr_14,186
volume_ratio_20,178
rsi_6,172
ma5_slope,165
close_ma5_ratio,142
amount_ratio_20,84
