feature,importance
lower_shadow,313
atr_14,257
volume_ratio_5,219
ret_1d,190
kdj_j,183
macd_dif,158
macd_dea,152
upper_shadow,144
ret_3d,144
rsi_6,139
turnover_rate,138
amplitude,103
close_ma10_ratio,93
ret_5d,91
ret_10d,76
close_ma5_ratio,71
volume_ratio_20,68
close_ma20_ratio,61
macd_hist,57
kdj_d,52
ret_20d,42
amount_ratio_20,36
ma5_slope,33
kdj_k,27
rsi_14,26
ma10_slope,21
