month,return
2023-01,0.09136181016931544
2023-02,0.06671390111212472
2023-03,0.04126385255857712
2023-04,0.014630817532787166
2023-05,0.041207391616154165
2023-06,0.01421016665147845
2023-07,0.09168626131701463
2023-08,0.03212680192183148
2023-09,-0.013186496391329738
2023-10,0.06171581231951384
2023-11,0.018699492810640317
2023-12,-0.011840450259821722
2024-01,0.05179829508518119
2024-02,0.06802148761971405
2024-03,0.05846687544309792
2024-04,-0.0009338751705706416
2024-05,0.03269919530175569
2024-06,-0.009889155403553285
2024-07,0.015857397142315044
2024-08,-0.005093814639126171
2024-09,0.0846703139288949
2024-10,0.06456157803539875
2024-11,0.04536292296752009
2024-12,0.012211493714472388
2025-01,-0.022127124194267767
2025-02,0.00852706216731347
2025-03,0.003422995809556406
2025-04,0.009026248546180726
2025-05,-0.005779583522525389
2025-06,-0.01675019310345549
2025-07,-0.021193200230710252
2025-08,0.010265636785074639
2025-09,0.014673269741998451
2025-10,0.023230029565823207
2025-11,0.004943371646665806
2025-12,0.009521882798320114
